prompt_id,tag,size,seed,prompt,negativePrompt,sampler,cfgScale,note
1,abstract,768x512,8486466558,Incomprehensibilities, ,Eular a,7,
2,abstract,768x512,128112445,Oil painting generated by artificial intelligence, ,Eular a,7,
3,abstract,768x512,3660892251,Pneumonoultramicroscopicsilicovolcanoconiosis, ,Eular a,7,
4,abstract,768x512,925534487,The collision of two black holes in the center of a galaxy, ,Eular a,7,
5,abstract,768x512,7461982159,supercalifragilisticexpialidocious, ,Eular a,7,
6,animal,512x768,2906332466,"A cartoon tiger face, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
7,animal,512x768,2995762643,"A meticulously crafted masterpiece, a highly detailed, black cat captured with the utmost precision, Its tininess adds to its charm, illuminated by warm and inviting lighting","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,extended
8,animal,512x768,3322673031,"Portrait of a gecko wearing a train conductor’s hat and holding a flag that has a yin-yang symbol on it Marble statue, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
9,animal,512x768,5443568375,"The mouse the cat watches is jumping in the air, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
10,animal,512x768,1509721018,"a close-up of a blue dragonfly on a daffodil, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
11,animal,512x768,901409224,"corgi pizza, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
12,animal,512x768,2995762643,"highly detailed, black cat, tin cute, warm lighting, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,original
13,architecture,768x512,2060098864,"An empty fireplace with a television above it The TV shows a lion hugging a giraffe, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
14,architecture,768x512,2282177607,"Stunning wide-angle architecture photography, an award-winning contemporary living room flooded with warm sunlight, highlighting cozy furniture, interesting lights, and shadows","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,extended
15,architecture,768x512,3390813036,"a bunch of laptops piled on a sofa, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
16,architecture,768x512,5910226421,"a ceiling fan with five brown blades, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
17,architecture,768x512,7490480091,"a group of cats in a meeting there is a whiteboard with 'stack more layers' written on it, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
18,architecture,768x512,5278374185,"a living room with a large Egyptian statue in the corner, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
19,architecture,768x512,2282177607,"insanely detailed wide angle architecture photography, cozy contemporary living room, award-winning contemporary interior design, bright warm sunlight, furniture, indoors, building, living room, rug, plant, couch, intersting lights and shadows","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,original
20,art,512x768,5499100310,"A tornado made of sharks crashing into a skyscraper painting in the style of Hokusai, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
21,art,512x768,384804,"Exquisite masterpiece, intricate oil painting of a violet flower in a jar, resting on a table covered with a white cloth, A classic and impressionistic artwork reminiscent of Monet's style","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,extended
22,art,512x768,4134248873,"a painting of a sport car in the style of Dali, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
