prompt_id,tag,size,seed,prompt,negativePrompt,sampler,cfgScale
127497,civitai,512x768,3118275117,"best quality, (photorealistic:1.4), 1girl, (black shirt:1.2),  (grey long pants:1.2),(white suspenders:1.4), perfect female figure, full body, from back, white background, short hair, slim","nsfw, paintings, sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres,  ((monochrome)), ((grayscale))",DPM++ SDE Karras,12
295538,civitai,512x768,2668558297,"(RAW photo, best quality), (realistic, photo-realistic:1.3), best quality ,masterpiece, an extremely delicate and beautiful, extremely detailed ,CG ,unity ,2k wallpaper, Amazing, finely detail, masterpiece, light smile, best quality, extremely detailed CG unity 8k wallpaper, huge filesize , ultra-detailed, highres, extremely detailed, 1girl, maid,(nude:1.2),(moist pussy:1), (spread legs), hair ornament, looking at looking at viewer, small breasts, <lora:japaneseDollLikeness_v10:0.2>, <lora:koreanDollLikeness_v15:0.2>, <lora:cuteGirlMix4_v10:0.4>, <lora:chilloutmixss30_v30:0.2>, pureerosface_v1:0.8","bra, covered nipples, underwear,EasyNegative, paintings, sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, glans,extra fingers,fewer fingers,((watermark:2)),(white letters:1), (multi nipples), lowres, bad anatomy, bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worst quality, low qualitynormal quality, jpeg artifacts, signature, watermark, username,bad feet, {Multiple people},lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,extra arms,missing legs,wrong feet bottom render,extra digit,abdominal stretch, glans, pants, briefs, knickers, kecks, thong, {{fused fingers}}, {{bad body}}, ((long hair))",DPM++ SDE Karras,8
295008,civitai,768x1152,1684432449,"(RAW photo, best quality), (realistic, photo-realistic:1.3), masterpiece, an extremely delicate and beautiful, extremely detailed, CG, unity , 2k wallpaper, Amazing, finely detail, light smile, extremely detailed CG unity 8k wallpaper, huge filesize, ultra-detailed, highres, absurdres, soft light, (((medium hair:1.3), short bang, pink hair, floating hair novafrogstyle)), beautiful detailed girl, detailed fingers, extremely detailed eyes and face, beautiful detailed nose, beautiful detailed eyes, long eyelashes, light on face, looking at viewer, (closed mouth:1.2), 1girl, cute, young, mature face, (full body:1.3), ((small breasts)), realistic face, realistic body, beautiful detailed thigh, (ulzzang-6500-v1.1:0.8), <lora:koreanDollLikeness_v15:0.4>, business suit, cross-laced clothes, collared shirt, open clothes, in office, detailed office, open cardigan, black thighhighs, miniskirt, black underwear, unbuttoned shirt,","paintings, sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, glans, extra fingers, fewer fingers, ((watermark:2)), (white letters:1), (multi nipples), bad anatomy, bad hands, text, error, missing fingers, missing arms, missing legs, extra digit, fewer digits, cropped, worst quality, jpeg artifacts, signature, watermark, username, bad feet, {Multiple people}, blurry, poorly drawn hands, poorly drawn face, mutation, deformed, extra limbs, extra arms, extra legs, malformed limbs, fused fingers, too many fingers, long neck, cross-eyed, mutated hands, polar lowres, bad body, bad proportions, gross proportions, wrong feet bottom render, abdominal stretch, briefs, knickers, kecks, thong, {{fused fingers}}, {{bad body}},, bad-picture-chill-75v,  ng_deepnegative_v1_75t, EasyNegative, bad proportion body to legs, wrong toes, extra toes, missing toes, weird toes, 2 body, 2 pussy, 2 upper, 2 lower, 2 head, 3 hand, 3 feet, extra long leg, super long leg, mirrored image, mirrored noise, (bad_prompt_version2:0.8), aged up, old,",DPM++ SDE Karras,7
107855,civitai,512x768,1419841275,"(RAW photo:1.2), (photorealistic:1.4),(masterpiece:1.4),(best quality:1.4),ultra high res,((detailed facial features)),HDR,8k resolution,Kpop idol,aegyo sal,<lora:koreanDollLikeness_v10:0.2> ,<lora:aliceNikke_v20:1>,1boy, 1girl, animal ears, bangs, blush, bodysuit, breasts, censored, covered navel, fake animal ears, grey hair, gun, headphones, headset, hetero, jacket, large breasts, latex bodysuit, long hair, looking at viewer, mosaic censoring, open mouth, penis, pink bodysuit, pink eyes, pussy, rifle, sex, simple background, skin tight, solo focus, spread legs, twintails, vaginal, weapon,alice \(nikke\),(masterpiece:1.4),(best quality:1.4),(shiny skin),(slime girl)","paintings, sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, (outdoor:1.6), manboobs, backlight,(ugly:1.331), (duplicate:1.331), (morbid:1.21), (mutilated:1.21), (tranny:1.331), mutated hands, (poorly drawn hands:1.331), blurry, (bad anatomy:1.21), (bad proportions:1.331), extra limbs, (disfigured:1.331), (more than 2 nipples:1.331), (missing arms:1.331), (extra legs:1.331), (fused fingers:1.61051), (too many fingers:1.61051), (unclear eyes:1.331), bad hands, missing fingers, extra digit, (futa:1.1), bad body, NG_DeepNegative_V1_75T,pubic hair, glans,nsfw,",DPM++ 2M Karras,7
270008,civitai,832x1152,1722531516,"beautiful, masterpiece, best quality, extremely detailed face, perfect lighting, (1girl, solo, 1boy, 1girl, NemoNelly, Slight penetration, lying, on back, spread legs:1.5),street,crowd,, , ((skinny)), ((puffy eyes)),brown hair,medium hair,cowboy shot,medium breasts, swept bangs,walking,outdoors,sunshine,light_rays,fantasy,rococo,hair_flower,low tied hair, smile,half-closed eyes, ,dating,(Nude), nsfw,, (heavy breathing:1.5) ,tears, crying, blush, wet, sweat,, , <lora:koreanDollLikeness_v15:0.4>,<lora:povImminentPenetration_ipv1:0> ,<lora:breastinclassBetter_v14:0.1>","paintings, sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot,(ugly:1.331), (duplicate:1.331), (morbid:1.21), (mutilated:1.21), (tranny:1.331), mutated hands, (poorly drawn hands:1.331), blurry, (bad anatomy:1.21), (bad proportions:1.331), extra limbs, (disfigured:1.331), (missing arms:1.331), (extra legs:1.331), (fused fingers:1.61051), (too many fingers:1.61051), (unclear eyes:1.331), bad hands, missing fingers, extra digit, bad body,pubic",Euler a,7
363986,civitai,512x840,3601959518,"<lora:cuteGirlMix4_v10:1>,mix4,(8k, RAW photo, best quality, masterpiece:1.2), (realistic, photo-realistic:1.37),1girl,cute,cityscape, night, rain, wet,professional lighting, photon mapping, radiosity, physically-based rendering, full body,thighhighs,legs together, breasts, peeing,, "," paintings, sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, glans",DPM++ 2M Karras,6.5
212334,civitai,768x768,4024456844,"<lora:koreanDollLikeness_v15:0.5>, <lora:taiwanDollLikeness_v10:0.2>, ulzzang-6500v1.1, (original: 1.2), (realistic: 1.3) (mixed Korean), beautiful girl with beautiful details, extremely detailed eyes and face, eyes with beautiful details, absurd, incredibly absurd, huge file size, ultra detail, high resolution, ultra detailed, best quality, masterpiece, illustration, ultra detailed and beautiful, ultra detailed, CG, unity, 8k wallpaper, amazing, fine Detail, masterpiece, top quality, official art, extremely detailed CG unity 8k wallpaper, cinematic lighting, (perfect shiny skin:0.6), slim and smooth lines, (floating), (spread pussy:1.4),(spread legs:1.4),(large breasts:1.5), (evening dress:1.4),   ((Tiara on head)),  (half nude:1.5),  <lora:realisticVaginasGodPussy_godpussy2Innie:0.4>","paintings, sketches, (worst quality:2), (low quality:2), (normal quality:2), dot, mole, lowres, normal quality, monochrome, grayscale, lowres, text, error, cropped, worst quality, low quality, jpeg artifacts, ugly, duplicate, morbid, mutilated, out of frame, extra fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, deformed, blurry, dehydrated, bad anatomy, bad proportions, extra limbs, cloned face, disfigured, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, fused fingers, too many fingers, long neck, username, watermark, signature,",DPM++ SDE Karras,8
107787,civitai,448x768,716865729,"<lora:koreanDollLikeness_v10:0.3>,<lora:taiwanDollLikeness_v10:0.2>(8k, RAW photo, best quality, masterpiece:1.2), (realistic, photo-realistic:1.37), ultra-detailed,, 1 girl,cute, solo,beautiful detailed sky,detailed cafe,night,sitting,dating,(nose blush),(smile:1.1),(closed mouth), medium breasts,beautiful detailed eyes,(collared shirt:1.1), bowtie,pleated skirt,(short hair:1.2),floating hair","EasyNegative, paintings, sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, glans,extra fingers,fewer fingers,((watermark:2)),((white letters:1))",DPM++ 2M Karras,7
347646,civitai,512x640,1391668662,"masterpiece, best quality, official art, extremely detailed CG unity 8k wallpaper, ultra high res, ultra detailed, realistic, (photorealistic:1.4), 1girl, solo, (full body:1.2), young, slim, basketball uniform, (shirtlift:1.2), shorts, ponytail, smile, teeth, grin, medium breasts, detailed breast, ((puffy eyes)), (aegyo sal:1), beautiful, realistic skin, basketball court, sun, trees, detailed facial features, detailed clothes features, depth of field, professional lighting, physically-based rendering, (mix4:0.3), (pureerosface_v1:0.2), <lora:japaneseDollLikeness_v10:0.3>, <lora:koreanDollLikeness_v10:0.6>, <lora:cuteGirlMix4_v10:0.3>, <lora:shojovibe_v11:0.1> , <lora:shirtliftALORAFor_shirtliftv1:1>","ng_deepnegative_v1_75t, easynegative, paintings, sketches, (worst quality, low quality:1.4), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), (duplicate:1.331), (morbid:1.21), (mutilated:1.21), (tranny:1.331), (missing arms:1.331), (extra arms:1.331), no legs, (extra legs:1.331), extra limbs, extra digit, bad hands, bad fingers, extra fingers, (too many fingers:1.61051), missing fingers, deformed fingers, mutated hands, (fused fingers:1.61051), (poorly drawn hands:1.331), (bad anatomy:1.21), bad body, (disfigured:1.331), (bad proportions:1.331), (more than 2 nipples:1.331), skin spots, watermarks, texts, artist name, logo, acnes, skin blemishes, age spot, (outdoor:1.6), manboobs, (ugly:1.331), blurry, (unclear eyes:1.331), (futa:1.1), pubic hair, weird eyes, horror, (fat ass), (bad-artist:0.7)",DPM++ 2M Karras,7
190200,civitai,512x768,883660798,"<lora:cuteGirlMix4_v10:0.8>,nude,nsfw,","EasyNegative, paintings, sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, glans,extra fingers,fewer fingers,strange fingers,bad hand, EasyNegative, paintings, sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, glans,extra fingers,fewer fingers,strange fingers,bad hand",DPM++ 2M Karras,7
