prompt_id,tag,size,seed,prompt,negativePrompt,sampler,cfgScale
1,people,512x768,1434108678,"1girl, solo, closeup portrait, standing, pink hair, long hair, hair ornament, floating hair, blue eyes, looking at viewer, looking away, smile, closed mouth, floral print milkmaid dress, beautiful background", ,,7
2,people,512x768,166329422,"best quality, masterpiece, best shadow, intricate, ultra high res, 1man, long hair, messy hair,  pilot sunglasses, white shirt, dynamic pose, looking at viewer, from below, Tokyo city background, night city", ,,7
3,scenery,768x512,2230358527,"masterpiece, best quality, high quality, extremely detailed CG unity 8k wallpaper,landscape with texture ,A place with lots of leaves on the ground and autumn colors,award winning photography, Bokeh, Depth of Field, HDR, bloom, Chromatic Aberration, extremely detailed, trending on artstation", ,,7
4,animal,512x768,2995762643,"highly detailed, black cat, tin cute, warm lighting", ,,7
5,vehicle,768x512,3518075494,"masterpiece, best quality, official art, extremely detailed CG unity 8k wallpaper, illustration, light, red car, bright, motor vehicle, ground vehicle, sports car, vehicle focus, road, need for speed, moving, wet, cyberpunk, tokyo, neon lights, drift", ,,7
6,architecture,768x512,2282177607,"insanely detailed wide angle architecture photography, cozy contemporary living room, award-winning contemporary interior design, bright warm sunlight, furniture, indoors, building, living room, rug, plant, couch, intersting lights and shadows", ,,7
7,illustration,768x512,132340236,"portrait of beautiful cyborg with brown hair, intricate, elegant, highly detailed, majestic, digital photography, art by artgerm and ruan jia and greg rutkowski surreal painting gold butterfly filigree, broken glass, hdr", ,,7
8,art,512x768,384804,"oil painting, art, painting, violet flower, jar, table, white cloth, brush, classic, impressionism, artwork by Monet", ,,7
9,food,768x512,1719354594,1 bowl of ramen, ,,7
10,abstract,768x512,3660892251,Pneumonoultramicroscopicsilicovolcanoconiosis, ,,7
11,abstract,768x512,7461982159,supercalifragilisticexpialidocious, ,,7
12,abstract,768x512,8486466558,Incomprehensibilities, ,,7
13,abstract,768x512,925534487,The collision of two black holes in the center of a galaxy., ,,7
14,abstract,768x512,128112445,Oil painting generated by artificial intelligence, ,,7
15,animal,512x768,1509721018,a close-up of a blue dragonfly on a daffodil, ,,7
16,animal,512x768,5443568375,The mouse the cat watches is jumping in the air., ,,7
17,animal,512x768,3322673031,Portrait of a gecko wearing a train conductor’s hat and holding a flag that has a yin-yang symbol on it. Marble statue., ,,7
18,animal,512x768,2906332466,A cartoon tiger face, ,,7
19,animal,512x768,901409224,corgi pizza, ,,7
20,art,512x768,8007266095,"light and happiness throughout and finding its way to every corner of the world, abstract oil painting", ,,7
21,art,512x768,4134248873,a painting of a sport car in the style of Dali, ,,7
22,art,512x768,5499100310,A tornado made of sharks crashing into a skyscraper. painting in the style of Hokusai., ,,7
23,art,512x768,9133783679,"a painting of an ornate treasure chest with a broad sword propped up against it, glowing in a dark cave", ,,7
24,art,512x768,4131109744,"an oil surrealist painting of a dreamworld on a seashore where clocks and watches appear to be inexplicably limp and melting in the desolate landscape. a table on the left, with a golden watch swarmed by ants. a strange fleshy creature in the center of the painting", ,,7
25,artifact,768x512,5984593491,a blue t-shirt with a dinosaur on it, ,,7
26,artifact,768x512,4556155879,"a white robot, a red robot and a black robot standing together", ,,7
27,artifact,768x512,1461816475,a paranoid android freaking out and jumping into the air because it is surrounded by colorful Easter eggs, ,,7
28,artifact,768x512,8115899322,a silver doorknocker on a mahoghany door, ,,7
29,artifact,768x512,6636029176,a yellow diamond-shaped sign with a wooly mammoth silhouette, ,,7
30,food,768x512,2003469210,A bowl of Beef Pho, ,,7
31,food,768x512,8554415131,five green peppers to the right of two red onions, ,,7
32,food,768x512,1409520675,a glass of orange juice with an orange peel stuck on the rim, ,,7
33,food,768x512,2670652932,milk pouring from a glass into a bowl, ,,7
