prompt_id,tag,size,seed,prompt,negativePrompt,sampler,cfgScale,note
1,people,512x768,1434108678,"masterpiece, best quality, best shadow, intricate, 1girl, solo, closeup portrait, standing, pink hair, long hair, hair ornament, floating hair, blue eyes, looking at viewer, looking away, smile, closed mouth, fl print milkmaid dress, beautiful background","extra fingers, fewer fingers, bad hands, extra hands, bad anatomy, disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,original
2,people,512x768,166329422,"best quality, masterpiece, best shadow, intricate, ultra high res, 1man, long hair, messy hair, pilot sunglasses, white shirt, dynamic pose, looking at viewer, from below, Tokyo city background, night city","extra fingers, fewer fingers, bad hands, extra hands, bad anatomy, disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,original
3,scenery,768x512,2230358527,"masterpiece, best quality, high quality, extremely detailed CG unity 8k wallpaper, landscape with texture, A place with lots of leaves on the ground and autumn colors,award winning photography, Bokeh, Depth of Field, HDR, bloom, Chromatic Aberration, extremely detailed, trending on artstation","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,original
4,animal,512x768,2995762643,"masterpiece, best quality, best shadow, intricate, highly detailed, black cat, tin cute, warm lighting","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,original
5,vehicle,768x512,3518075494,"masterpiece, best quality, official art, extremely detailed CG unity 8k wallpaper, illustration, light, red car, bright, motor vehicle, ground vehicle, sports car, vehicle focus, road, need for speed, moving, wet, cyberpunk, tokyo, neon lights, drift","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,original
6,architecture,768x512,2282177607,"insanely detailed wide angle architecture photography, cozy contemporary living room, award-winning contemporary interior design, bright warm sunlight, furniture, indoors, building, living room, rug, plant, couch, intersting lights and shadows","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,original
7,illustration,768x512,132340236,"portrait of beautiful cyborg with brown hair, intricate, elegant, highly detailed, majestic, digital photography, art by artgerm and ruan jia and greg rutkowski surreal painting gold butterfly filigree, broken glass, hdr","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,original
8,art,512x768,384804,"masterpiece, best quality, best shadow, intricate, oil painting, art, painting, violet flower, jar, table, white cloth, brush, classic, impressionism, artwork by Monet","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,original
9,food,768x512,1719354594,"masterpiece, best quality, best shadow, intricate, 1 bowl of ramen","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,original
10,abstract,768x512,3660892251,Pneumonoultramicroscopicsilicovolcanoconiosis, ,Eular a,7,
11,abstract,768x512,7461982159,supercalifragilisticexpialidocious, ,Eular a,7,
12,abstract,768x512,8486466558,Incomprehensibilities, ,Eular a,7,
13,abstract,768x512,925534487,The collision of two black holes in the center of a galaxy, ,Eular a,7,
14,abstract,768x512,128112445,Oil painting generated by artificial intelligence, ,Eular a,7,
15,animal,512x768,1509721018,"masterpiece, best quality, best shadow, intricate, a close-up of a blue dragonfly on a daffodil","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
16,animal,512x768,5443568375,"masterpiece, best quality, best shadow, intricate, The mouse the cat watches is jumping in the air","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
17,animal,512x768,3322673031,"masterpiece, best quality, best shadow, intricate, Portrait of a gecko wearing a train conductor’s hat and holding a flag that has a yin-yang symbol on it Marble statue","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
18,animal,512x768,2906332466,"masterpiece, best quality, best shadow, intricate, A cartoon tiger face","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
19,animal,512x768,901409224,"masterpiece, best quality, best shadow, intricate, corgi pizza","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
20,art,512x768,8007266095,"masterpiece, best quality, best shadow, intricate, light and happiness throughout and finding its way to every corner of the world, abstract oil painting","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
21,art,512x768,4134248873,"masterpiece, best quality, best shadow, intricate, a painting of a sport car in the style of Dali","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
22,art,512x768,5499100310,"masterpiece, best quality, best shadow, intricate, A tornado made of sharks crashing into a skyscraper painting in the style of Hokusai","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
23,art,512x768,9133783679,"masterpiece, best quality, best shadow, intricate, a painting of an ornate treasure chest with a broad sword propped up against it, glowing in a dark cave","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
24,art,512x768,4131109744,"masterpiece, best quality, best shadow, intricate, an oil surrealist painting of a dreamworld on a seashore where clocks and watches appear to be inexplicably limp and melting in the desolate landscape a table on the left, with a golden watch swarmed by ants a strange fleshy creature in the center of the painting","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
25,artifact,768x512,5984593491,"masterpiece, best quality, best shadow, intricate, a blue t-shirt with a dinosaur on it","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
26,artifact,768x512,4556155879,"masterpiece, best quality, best shadow, intricate, a white robot, a red robot and a black robot standing together","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
27,artifact,768x512,1461816475,"masterpiece, best quality, best shadow, intricate, a paranoid android freaking out and jumping into the air because it is surrounded by colorful Easter eggs","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
28,artifact,768x512,8115899322,"masterpiece, best quality, best shadow, intricate, a silver doorknocker on a mahoghany door","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
29,artifact,768x512,6636029176,"masterpiece, best quality, best shadow, intricate, a yellow diamond-shaped sign with a wooly mammoth silhouette","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
30,food,768x512,2003469210,"masterpiece, best quality, best shadow, intricate, A bowl of Beef Pho","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
31,food,768x512,8554415131,"masterpiece, best quality, best shadow, intricate, five green peppers to the right of two red onions","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
32,food,768x512,1409520675,"masterpiece, best quality, best shadow, intricate, a glass of orange juice with an orange peel stuck on the rim","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
33,food,768x512,2670652932,"masterpiece, best quality, best shadow, intricate, milk pouring from a glass into a bowl","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
34,food,768x512,9018489340,"masterpiece, best quality, best shadow, intricate, a wine bottle with a red ribbon wrapped around it","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
35,illustration,768x512,1480882407,"masterpiece, best quality, best shadow, intricate, a cube made of porcupine","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
36,illustration,768x512,5682533250,"masterpiece, best quality, best shadow, intricate, a metallic blue sphere to the left of a yellow box made of felt","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
37,illustration,768x512,6717752929,"masterpiece, best quality, best shadow, intricate, the words 'KEEP OFF THE GRASS'","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
38,illustration,768x512,4930352916,"masterpiece, best quality, best shadow, intricate, a square with an angry face","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
39,illustration,768x512,3918434010,"masterpiece, best quality, best shadow, intricate, a red cube on top of a blue cube","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
40,architecture,768x512,7490480091,"masterpiece, best quality, best shadow, intricate, a group of cats in a meeting there is a whiteboard with ""stack more layers"" written on it","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
41,architecture,768x512,2060098864,"masterpiece, best quality, best shadow, intricate, An empty fireplace with a television above it The TV shows a lion hugging a giraffe","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
42,architecture,768x512,3390813036,"masterpiece, best quality, best shadow, intricate, a bunch of laptops piled on a sofa","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
43,architecture,768x512,5910226421,"masterpiece, best quality, best shadow, intricate, a ceiling fan with five brown blades","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
44,architecture,768x512,5278374185,"masterpiece, best quality, best shadow, intricate, a living room with a large Egyptian statue in the corner","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
45,scenery,768x512,3698502578,"masterpiece, best quality, best shadow, intricate, a tennis court with a basketball hoop in one corner","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
46,scenery,768x512,998785767,"masterpiece, best quality, best shadow, intricate, a close-up of the eye of the planet Jupiter","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
47,scenery,768x512,2983353700,"masterpiece, best quality, best shadow, intricate, the word 'START' written in chalk on a sidewalk","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
48,scenery,768x512,3745127138,"masterpiece, best quality, best shadow, intricate, a tidal wave approaching a coastal road","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
49,scenery,768x512,173376499,"masterpiece, best quality, best shadow, intricate, a fall landscape with a small cottage next to a lake","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
50,people,512x768,8904114895,"masterpiece, best quality, best shadow, intricate, a group of skiers are preparing to walk up a sand dune","extra fingers, fewer fingers, bad hands, extra hands, bad anatomy, disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
51,people,512x768,5661439270,"masterpiece, best quality, best shadow, intricate, a Saint Bernard standing up with its paws in the air A young girl is seated on the dog's shoulders","extra fingers, fewer fingers, bad hands, extra hands, bad anatomy, disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
52,people,512x768,3892569215,"masterpiece, best quality, best shadow, intricate, an old man with a long grey beard and green eyes","extra fingers, fewer fingers, bad hands, extra hands, bad anatomy, disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
53,people,512x768,6527211001,"masterpiece, best quality, best shadow, intricate, a man eating a glazed donut and a woman eating a chocolate cake","extra fingers, fewer fingers, bad hands, extra hands, bad anatomy, disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
54,people,512x768,4467726520,"masterpiece, best quality, best shadow, intricate, a frustrated child","extra fingers, fewer fingers, bad hands, extra hands, bad anatomy, disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
55,produce & plant,768x512,7459922620,"masterpiece, best quality, best shadow, intricate, A photo of a maple leaf made of water ","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
56,produce & plant,768x512,8376493814,"masterpiece, best quality, best shadow, intricate, a butterfly kite stuck high in a tree","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
57,produce & plant,768x512,6532914018,"masterpiece, best quality, best shadow, intricate, A photo of a four-leaf clover made of water ","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
58,produce & plant,768x512,2233537572,"masterpiece, best quality, best shadow, intricate, a smiling banana wearing a bandana","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
59,produce & plant,768x512,7465129606,"masterpiece, best quality, best shadow, intricate, a small garden with an apple tree behind it","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
60,vehicle,768x512,6047528567,"masterpiece, best quality, best shadow, intricate, a submarine floating past a shark","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
61,vehicle,768x512,4402297889,"masterpiece, best quality, best shadow, intricate, a subway train coming out of a tunnel","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
62,vehicle,768x512,5235424873,"masterpiece, best quality, best shadow, intricate, a subway train with no cows in it","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
63,vehicle,768x512,4568468532,"masterpiece, best quality, best shadow, intricate, A photograph of the inside of a subway train There are frogs sitting on the seats One of them is reading a newspaper The window shows the river in the background","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
64,vehicle,768x512,9286102128,"masterpiece, best quality, best shadow, intricate, a old-time car with a large front grille","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
65,world knowledge,768x512,9826328824,"masterpiece, best quality, best shadow, intricate, a boat in the canals of venice","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
66,world knowledge,768x512,735836385,"masterpiece, best quality, best shadow, intricate, the cover of The Beatle's album Revolver","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
67,world knowledge,768x512,7829008466,"masterpiece, best quality, best shadow, intricate, a Ferrari Testarossa in front of the Kremlin","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
68,world knowledge,768x512,5956840504,"masterpiece, best quality, best shadow, intricate, an abstract painting of the Empire State Building","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
69,world knowledge,768x512,9632658022,"masterpiece, best quality, best shadow, intricate, A shiny VW van that has flowers painted on it A smiling sloth stands on grass in front of the van and is wearing a leather jacket, a cowboy hat, a kilt and a bowtie The sloth is holding a quarterstaff and a big book ink sketch","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
70,world knowledge,512x768,6021156540,"masterpiece, best quality, best shadow, intricate, kpop, korea star, idol producer, black shirt, grey long pants, white suspenders, perfect figure, full body, playing basketball, white background, short hair, middle parting hair style, gray hair, slim","worst quality, low quality, normal quality, lowres, monochrome, grayscale",Eular a,7,
71,people,768x1152,1684432449,"RAW photo, best quality, realistic, photo-realistic, masterpiece, an extremely delicate and beautiful, extremely detailed, CG, unity, k wallpaper, Amazing, finely detail, light smile, extremely detailed CG unity k wallpaper, huge filesize, ultra-detailed, highres, absurdres, soft light, medium hair, short bang, pink hair, floating hair","paintings, sketches, worst quality, low quality, normal quality, lowres, monochrome, grayscale, skin spots, acnes, skin blemishes, age spot, glans, extra fingers, fewer fingers, watermark, white letters, multi nipples, bad anatomy, bad hands, text, error, missing fingers, missing arms, missing legs, extra digit,",Eular a,7,
72,people,512x768,3589893419,"RAW photo, best quality, realistic, photo-realistic, girl, high quality, high detailed skin, puffy eyes, gorgeous hair, dark room, rim lighting, dimly lit, dark night, indoors, portrait, black hair, dark background, short hair","worst quality, low quality, monochrome, EasyNegative, bad-artist bad-image-v-, bad_prompt_version, ng_deepnegative_v_t, verybadimagenegative_v-, vile_prompt, bad-hands-, painting, illustration",Eular a,7,
